Time,Step Count,Calorie Count,Distance(miles)
00:00:00,0,15,0.0
00:15:00,0,15,0.0
00:30:00,0,15,0.0
00:45:00,0,15,0.0
01:00:00,0,15,0.0
01:15:00,0,15,0.0
01:30:00,0,15,0.0
01:45:00,0,15,0.0
02:00:00,0,15,0.0
02:15:00,0,15,0.0
02:30:00,0,15,0.0
02:45:00,0,15,0.0
03:00:00,0,15,0.0
03:15:00,0,15,0.0
03:30:00,0,15,0.0
03:45:00,0,15,0.0
04:00:00,0,15,0.0
04:15:00,0,15,0.0
04:30:00,0,15,0.0
04:45:00,0,15,0.0
05:00:00,0,15,0.0
05:15:00,0,15,0.0
05:30:00,0,15,0.0
05:45:00,0,15,0.0
06:00:00,0,15,0.0
06:15:00,0,15,0.0
06:30:00,0,15,0.0
06:45:00,0,15,0.0
07:00:00,0,15,0.0
07:15:00,0,15,0.0
07:30:00,0,15,0.0
07:45:00,0,15,0.0
08:00:00,0,15,0.0
08:15:00,0,15,0.0
08:30:00,0,15,0.0
08:45:00,0,15,0.0
09:00:00,0,15,0.0
09:15:00,6,16,0.0026594686787575483
09:30:00,0,15,0.0
09:45:00,0,15,0.0
10:00:00,0,15,0.0
10:15:00,0,15,0.0
10:30:00,0,15,0.0
10:45:00,0,15,0.0
11:00:00,0,15,0.0
11:15:00,18,17,0.007972192019224167
11:30:00,86,21,0.03810248151421547
11:45:00,0,15,0.0
12:00:00,87,20,0.03854987025260925
12:15:00,0,15,0.0
12:30:00,0,15,0.0
12:45:00,0,15,0.0
13:00:00,0,15,0.0
13:15:00,0,15,0.0
13:30:00,57,18,0.02525252476334572
13:45:00,0,15,0.0
14:00:00,0,15,0.0
14:15:00,31,17,0.01373230293393135
14:30:00,21,17,0.00930192694067955
14:45:00,0,15,0.0
15:00:00,0,15,0.0
15:15:00,0,15,0.0
15:30:00,0,15,0.0
15:45:00,0,15,0.0
16:00:00,0,15,0.0
16:15:00,0,15,0.0
16:30:00,0,15,0.0
16:45:00,0,15,0.0
17:00:00,0,15,0.0
17:15:00,0,15,0.0
17:30:00,0,15,0.0
17:45:00,0,15,0.0
18:00:00,0,15,0.0
18:15:00,0,15,0.0
18:30:00,0,15,0.0
18:45:00,0,15,0.0
19:00:00,0,15,0.0
19:15:00,43,17,0.019051240757107735
19:30:00,100,21,0.06269635260105133
19:45:00,328,36,0.19424684345722198
20:00:00,0,15,0.0
20:15:00,100,21,0.06269635260105133
20:30:00,51,18,0.0225930567830801
20:45:00,0,15,0.0
21:00:00,0,15,0.0
21:15:00,0,15,0.0
21:30:00,0,15,0.0
21:45:00,0,15,0.0
22:00:00,0,15,0.0
22:15:00,0,15,0.0
22:30:00,0,15,0.0
22:45:00,0,15,0.0
23:00:00,0,15,0.0
23:15:00,0,15,0.0
23:30:00,0,15,0.0
23:45:00,0,15,0.0
